Protein IDs	Majority protein IDs	Peptide counts (all)	Peptide counts (razor+unique)	Peptide counts (unique)	Fasta headers	Number of proteins	Peptides	Razor + unique peptides	Unique peptides	Peptides YAL6Bproteome	Razor + unique peptides YAL6Bproteome	Unique peptides YAL6Bproteome	Sequence coverage [%]	Unique + razor sequence coverage [%]	Unique sequence coverage [%]	Mol. weight [kDa]	Sequence length	Sequence lengths	Fraction average	Fraction 1	Fraction 2	Fraction 3	Fraction 4	Fraction 5	Fraction 6	Fraction 7	Fraction 8	Q-value	Score	Sequence coverage YAL6Bproteome [%]	Intensity	Intensity YAL6Bproteome	MS/MS Count	Only identified by site	Reverse	Potential contaminant	id	Peptide IDs	Peptide is razor	Mod. peptide IDs	Evidence IDs	MS/MS IDs	Best MS/MS	Oxidation (M) site IDs	Oxidation (M) site positions
Q0140	Q0140	6	6	6	>Q0140 pep:known chromosome:R64-1-1:Mito:48901:50097:1 gene:Q0140 transcript:Q0140 description:Mitochondrial ribosomal protein of the small subunit, mitochondrially-encoded\x3b polymorphic in different strains due to variation in number of AAT (asparagine	1	6	6	6	6	6	6	18.6	18.6	18.6	47.123	398	398	4				6					0	23.306	18.6	212560000	212560000	6				26	13739;15833;16024;18828;25758;29852	True;True;True;True;True;True	14338;16534;16736;19818;27071;31389	38565;44217;44798;52204;70894;83184	44085;50286;50988;59172;80213;94334	44085;50286;50988;59172;80213;94334		
REV__CON__P15497	REV__CON__P15497	1	1	1	>P15497 SWISS-PROT:P15497 (Bos taurus) Apolipoprotein A-I precursor	1	1	1	1	1	1	1	0	0	0	30.276	265	265	7							1		0.0043466	1.9255	0	33952000	33952000	1		+	+	27	16288	True	17005	45471	51727	51727		
REV__CON__Q0VCM5	REV__CON__Q0VCM5	2	2	2	>Q0VCM5 TREMBL:Q0VCM5 (Bos taurus) Similar to Inter-alpha-trypsin inhibitor heavy chain H1	1	2	2	2	2	2	2	0	0	0	101.24	906	906	5				1		1			0.0076683	1.5834	0	130690000	130690000	2		+	+	28	23359;26254	True;True	24555;27600	64244;72276	72729;81738	72729;81738		
REV__YAR073W;REV__YHR216W	REV__YAR073W;REV__YHR216W	1;1	1;1	1;1	>YAR073W pep:known chromosome:R64-1-1:I:227742:228953:1 gene:YAR073W transcript:YAR073W description:Nonfunctional protein with homology to IMP dehydrogenase\x3b probable pseudogene, located close to the telomere\x3b is not expressed at detectable levels\x	2	1	1	1	1	1	1	0	0	0	44.386	403	403;523	3		1		1					0.0040615	1.936	0	2416400000	2416400000	2		+		29	1908	True	2031	6130;6131	7127;7128	7127		
REV__YBL058W	REV__YBL058W	1	1	1	>YBL058W pep:known chromosome:R64-1-1:II:111437:112708:1 gene:YBL058W transcript:YBL058W description:UBX (ubiquitin regulatory X) domain-containing protein that regulates Glc7p phosphatase activity and interacts with Cdc48p\x3b interacts with ubiquitylate	1	1	1	1	1	1	1	0	0	0	46.987	423	423	5					1				0.0012074	2.5247	0	32616000	32616000	1		+		30	4794	True	5027	13657	15642	15642		
REV__YBL088C	REV__YBL088C	4	4	4	>YBL088C pep:known chromosome:R64-1-1:II:51019:59382:-1 gene:YBL088C transcript:YBL088C description:Protein kinase primarily involved in telomere length regulation\x3b contributes to cell cycle checkpoint control in response to DNA damage\x3b functionally	1	4	4	4	4	4	4	0	0	0	321.52	2787	2787	4	1	1	2	2	1	1		1	0.00033036	4.3093	0	6266400000	6266400000	10		+		31	3985;11095;11367;12017	True;True;True;True	4192;11602;11883;12569	11333;31465;32260;32261;32262;32263;32264;32265;33953	12877;36104;36986;36987;36988;36989;36990;36991;36992;38853	12877;36104;36991;38853		
REV__YBR079C	REV__YBR079C	2	2	2	>YBR079C pep:known chromosome:R64-1-1:II:395383:398277:-1 gene:YBR079C transcript:YBR079C description:eIF3a subunit of the core complex of translation initiation factor 3 (eIF3), essential for translation\x3b part of a Prt1p-Rpg1p-Nip1p subcomplex that st	1	2	2	2	2	2	2	0	0	0	110.34	964	964	3.33		1	1		1				0.0023669	2.2218	0	37738000	37738000	3		+		32	12791;13334	True;True	13368;13925	36261;36262;37575	41533;41534;42986	41534;42986		
REV__YBR102C	REV__YBR102C	2	2	2	>YBR102C pep:known chromosome:R64-1-1:II:445062:447323:-1 gene:YBR102C transcript:YBR102C description:Essential protein with dual roles in spliceosome assembly and exocytosis\x3b the exocyst complex (Sec3p, Sec5p, Sec6p, Sec8p, Sec10p, Sec15p, Exo70p, and	1	2	2	2	2	2	2	0	0	0	85.537	753	753	3.5		1		3					0.0020735	2.2331	0	754370000	754370000	4		+		33	2402;23425	True;True	2550;24627	7523;64457;64458;64459	8725;72971;72972;72973	8725;72973		
REV__YBR222C	REV__YBR222C	2	2	2	>YBR222C pep:known chromosome:R64-1-1:II:666720:668351:-1 gene:YBR222C transcript:YBR222C description:Peroxisomal protein that binds AMP and mRNA, localizes to both the peroxisomal peripheral membrane and matrix, expression is highly inducible by oleic ac	1	2	2	2	2	2	2	0	0	0	60.488	543	543	6				1		1	2		0.00094667	3.3451	0	279440000	279440000	4		+		34	9804;10599	True;True	10266;11097	27963;30166;30167;30168	32150;34691;34692;34693	32150;34693		
REV__YDL040C	REV__YDL040C	1	1	1	>YDL040C pep:known chromosome:R64-1-1:IV:378874:381438:-1 gene:YDL040C transcript:YDL040C description:Subunit of the N-terminal acetyltransferase NatA (Nat1p, Ard1p, Nat5p)\x3b N-terminally acetylates many proteins, which influences multiple processes suc	1	1	1	1	1	1	1	0	0	0	98.904	854	854	2		1							0.0065564	1.6522	0	2071500000	2071500000	1		+		35	20873	True	21957	57316	64813	64813		
REV__YDL148C	REV__YDL148C	2	2	2	>YDL148C pep:known chromosome:R64-1-1:IV:188154:190586:-1 gene:YDL148C transcript:YDL148C description:Nucleolar protein, forms a complex with Noc4p that mediates maturation and nuclear export of 40S ribosomal subunits\x3b also present in the small subunit	1	2	2	2	2	2	2	0	0	0	94.301	810	810	6				1	2		2	1	0.0059897	1.6636	0	199160000	199160000	6		+		36	20945;21746	True;True	22039;22868	57544;57545;57546;57547;57548;59769	65074;65075;65076;65077;65078;67608	65077;67608	25	709
REV__YDR141C	REV__YDR141C	2	2	2	>YDR141C pep:known chromosome:R64-1-1:IV:734901:739997:-1 gene:YDR141C transcript:YDR141C description:Golgi-localized, leucine-zipper domain containing protein\x3b involved in endosome to Golgi transport, organization of the ER, establishing cell polarity	1	2	2	2	2	2	2	0	0	0	194.69	1698	1698	4.5	1							1	0.0017996	2.4222	0	56940000	56940000	2		+		37	14980;15372	True;True	15637;16047	41936;42979	47773;48908	47773;48908	26	463
REV__YDR150W	REV__YDR150W	2	2	2	>YDR150W pep:known chromosome:R64-1-1:IV:755628:763874:1 gene:YDR150W transcript:YDR150W description:Protein required for nuclear migration, localizes to the mother cell cortex and the bud tip\x3b may mediate interactions of dynein and cytoplasmic microtu	1	2	2	2	2	2	2	0	0	0	313.03	2748	2748	2.67	2					1			1	-2	0	45666000	45666000	3	+	+		38	5204;5642	True;True	5454;5920	14790;15854;15855	16878;18012;18013	16878;18013	27	1404
REV__YDR516C	REV__YDR516C	1	1	1	>YDR516C pep:known chromosome:R64-1-1:IV:1474974:1476476:-1 gene:YDR516C transcript:YDR516C description:Non-essential protein of unknown function required for transcriptional induction of the early meiotic-specific transcription factor IME1\x3b required f	1	1	1	1	1	1	1	0	0	0	55.92	500	500	5.67		1					1	1	0.0082246	1.5731	0	575760000	575760000	3		+		39	25320	True	26608	69516;69517;69518	78602;78603;78604	78602		
REV__YJR047C;REV__YEL034W	REV__YJR047C;REV__YEL034W	1;1	1;1	1;1	>YJR047C pep:known chromosome:R64-1-1:X:524908:525381:-1 gene:YJR047C transcript:YJR047C description:Translation elongation factor eIF-5A, previously thought to function in translation initiation\x3b similar to and functionally redundant with Hyp2p\x3b un	2	1	1	1	1	1	1	0	0	0	17.131	157	157;157	5					1				1	-2	0	169000000	169000000	1	+	+		40	26607	True	27970	73348	82938	82938	28	114
REV__YER091C	REV__YER091C	2	2	2	>YER091C pep:known chromosome:R64-1-1:V:339864:342167:-1 gene:YER091C transcript:YER091C description:Cobalamin-independent methionine synthase, involved in methionine biosynthesis and regeneration\x3b requires a minimum of two glutamates on the methyltetr	1	2	2	2	2	2	2	0	0	0	85.859	767	767	5				1		1			0.0073843	1.5868	0	111520000	111520000	2		+		41	17039;30413	True;True	17781;31967	47634;84660	54231;95999	54231;95999		
REV__YGL038C	REV__YGL038C	2	2	2	>YGL038C pep:known chromosome:R64-1-1:VII:425362:426804:-1 gene:YGL038C transcript:YGL038C description:Mannosyltransferase of the cis-Golgi apparatus, initiates the polymannose outer chain elongation of N-linked oligosaccharides of glycoproteins	1	2	2	2	2	2	2	0	0	0	55.155	480	480	3.5	1					1			0.0034833	1.9659	0	404620000	404620000	2		+		42	13369;26363	True;True	13961;27714	37640;72583	43057;82094	43057;82094		
REV__YGL173C	REV__YGL173C	1	1	1	>YGL173C pep:known chromosome:R64-1-1:VII:175527:180113:-1 gene:YGL173C transcript:YGL173C description:Evolutionarily-conserved 5-3 exonuclease component of cytoplasmic processing (P) bodies involved in mRNA decay\x3b plays a role in microtubule-mediate	1	1	1	1	1	1	1	0	0	0	175.46	1528	1528	3			1						0.0051473	1.7195	0	23489000	23489000	1		+		43	19804	True	20851	54708	62013	62013	29;30	678;680
REV__YGR098C	REV__YGR098C	2	2	2	>YGR098C pep:known chromosome:R64-1-1:VII:682566:687458:-1 gene:YGR098C transcript:YGR098C description:Separase, a caspase-like cysteine protease that promotes sister chromatid separation by mediating dissociation of the cohesin Scc1p from chromatin\x3b i	1	2	2	2	2	2	2	0	0	0	187.44	1630	1630	4.5		1					1		0.0037725	1.9473	0	309190000	309190000	2		+		44	11801;15491	True;True	12339;16174	33322;43348	38151;49339	38151;49339		
REV__YGR257C	REV__YGR257C	2	2	2	>YGR257C pep:known chromosome:R64-1-1:VII:1006205:1007305:-1 gene:YGR257C transcript:YGR257C description:Mitochondrial protein of the mitochondrial carrier family, involved in activating mitochondrial Sod2p probably by facilitating insertion of an essenti	1	2	2	2	2	2	2	0	0	0	40.763	366	366	4.5		1					1		0.0068396	1.6449	0	186350000	186350000	2		+		45	3677;17528	True;True	3873;18395	10603;48941	12099;55638	12099;55638		
REV__YHR028C	REV__YHR028C	2	2	2	>YHR028C pep:known chromosome:R64-1-1:VIII:164978:167434:-1 gene:YHR028C transcript:YHR028C description:Dipeptidyl aminopeptidase, synthesized as a glycosylated precursor\x3b localizes to the vacuolar membrane\x3b similar to Ste13p	1	2	2	2	2	2	2	0	0	0	93.403	818	818	5.5			1					1	1	-2	0	18516000	18516000	2	+	+		46	14197;29846	True;True	14816;31383	39806;83175	45420;94325	45420;94325	31	530
REV__YHR099W	REV__YHR099W	2	2	2	>YHR099W pep:known chromosome:R64-1-1:VIII:302761:313995:1 gene:YHR099W transcript:YHR099W description:Subunit of SAGA and NuA4 histone acetyltransferase complexes\x3b interacts with acidic activators (e.g., Gal4p) which leads to transcription activation\	1	2	2	2	2	2	2	0	0	0	433.17	3744	3744	7							2		0.0032107	2.0293	0	77916000	77916000	2		+		47	7620;14971	True;True	7969;15627	21342;41917	24291;47754	24291;47754		
REV__YIL095W	REV__YIL095W	2	2	2	>YIL095W pep:known chromosome:R64-1-1:IX:183937:186369:1 gene:YIL095W transcript:YIL095W description:Protein serine/threonine kinase\x3b regulates the organization and function of the actin cytoskeleton and reduces endocytic ability of cell through the ph	1	2	2	2	2	2	2	0	0	0	91.031	810	810	3.5			1	1					0.004611	1.8387	0	264680000	264680000	2		+		48	23394;29058	True;True	24595;30551	64353;80850	72854;91728	72854;91728		
REV__YJR117W	REV__YJR117W	1	1	1	>YJR117W pep:known chromosome:R64-1-1:X:642007:643368:1 gene:YJR117W transcript:YJR117W description:Highly conserved zinc metalloprotease that functions in two steps of a-factor maturation, C-terminal CAAX proteolysis and the first step of N-terminal prot	1	1	1	1	1	1	1	0	0	0	52.323	453	453	1	1								0.0071003	1.5876	0	24044000	24044000	1		+		49	23371	True	24569	64288	72776	72776		
REV__YKL017C	REV__YKL017C	2	2	2	>YKL017C pep:known chromosome:R64-1-1:XI:405190:407241:-1 gene:YKL017C transcript:YKL017C description:Hexameric DNA polymerase alpha-associated DNA helicase A involved in lagging strand DNA synthesis\x3b contains single-stranded DNA stimulated ATPase and 	1	2	2	2	2	2	2	0	0	0	78.272	683	683	4			1		1				0.0084962	1.5456	0	19217000	19217000	2		+		50	25152;27706	True;True	26432;29134	69041;76520	78096;86528	78096;86528		
REV__YKL129C	REV__YKL129C	2	2	2	>YKL129C pep:known chromosome:R64-1-1:XI:196349:200167:-1 gene:YKL129C transcript:YKL129C description:One of two type I myosins\x3b localizes to actin cortical patches\x3b deletion of MYO3 has little effect on growth, but myo3 myo5 double deletion causes 	1	2	2	2	2	2	2	0	0	0	142.45	1272	1272	5					2				0.0095991	1.4931	0	44787000	44787000	2		+		51	16654;26995	True;True	17388;28384	46594;74491	53093;84225	53093;84225		
REV__YKL173W	REV__YKL173W	1	1	1	>YKL173W pep:known chromosome:R64-1-1:XI:122517:125543:1 gene:YKL173W transcript:YKL173W description:GTPase component of U5 snRNP involved in mRNA splicing via spliceosome\x3b binds directly to U5 snRNA\x3b proposed to be involved in conformational change	1	1	1	1	1	1	1	0	0	0	114.04	1008	1008	7.5							1	1	0.0093273	1.5098	0	168700000	168700000	2		+		52	6230	True	6528	17453;17454	19862;19863	19862		
REV__YLR039C	REV__YLR039C	4	4	4	>YLR039C pep:known chromosome:R64-1-1:XII:225426:228596:-1 gene:YLR039C transcript:YLR039C description:Protein involved in retrograde transport to the cis-Golgi network\x3b forms heterodimer with Rgp1p that acts as a GTP exchange factor for Ypt6p\x3b invo	1	4	4	4	4	4	4	0	0	0	121.65	1056	1056	5.86	1			1		1	2	2	0.00064977	3.9758	0	116540000	116540000	6		+		53	2238;4670;6138;11633	True;True;True;True	2380;4898;6432;12167	7146;7147;7148;13285;17182;32912;32913	8312;8313;8314;15161;19532;37680;37681	8313;15161;19532;37680		
REV__YLR383W	REV__YLR383W	2	2	2	>YLR383W pep:known chromosome:R64-1-1:XII:885288:888632:1 gene:YLR383W transcript:YLR383W description:Component of the SMC5-SMC6 complex\x3b this complex plays a key role in the removal of X-shaped DNA structures that arise between sister chromatids durin	1	2	2	2	2	2	2	0	0	0	128.01	1114	1114	4.5		1					1		0.0015006	2.4357	0	160480000	160480000	3		+		54	2613;12163	True;True	2763;12717	7975;34372	9200;9201;39363	9200;39363		
REV__YLR409C	REV__YLR409C	2	2	2	>YLR409C pep:known chromosome:R64-1-1:XII:934414:937233:-1 gene:YLR409C transcript:YLR409C description:Subunit of U3-containing 90S preribosome and Small Subunit (SSU) processome complexes involved in production of 18S rRNA and assembly of small ribosomal	1	2	2	2	2	2	2	0	0	0	104.79	939	939	4.5		1					1		1	-2	0	67497000	67497000	2	+	+		55	7829;20061	True;True	8187;21120	21901;55326	24914;62689	24914;62689	32	551
REV__YLR454W	REV__YLR454W	2	2	2	>YLR454W pep:known chromosome:R64-1-1:XII:1043998:1051884:1 gene:YLR454W transcript:YLR454W description:Putative protein of unknown function\x3b the authentic, non-tagged protein is detected in highly purified mitochondria in high-throughput studies	1	2	2	2	2	2	2	0	0	0	303.48	2628	2628	7.5							1	1	0.0057078	1.6856	0	87179000	87179000	2		+		56	1170;24343	True;True	1253;25579	3737;66767	4399;75548	4399;75548	33	2006
REV__YML025C	REV__YML025C	2	2	2	>YML025C pep:known chromosome:R64-1-1:XIII:224406:225365:-1 gene:YML025C transcript:YML025C description:Mitochondrial ribosomal protein of the large subunit, has similarity to E. coli L4 ribosomal protein and human mitoribosomal MRP-L4 protein\x3b essenti	1	2	2	2	2	2	2	0	0	0	31.969	286	286	5.5				1			1		0.0026549	2.1537	0	424000000	424000000	2		+		57	19355;23354	True;True	20372;24550	53532;64237	60715;72722	60715;72722		
REV__YMR098C	REV__YMR098C	2	2	2	>YMR098C pep:known chromosome:R64-1-1:XIII:460771:462609:-1 gene:YMR098C transcript:YMR098C description:Mitochondrial protein required for the stability of Oli1p (Atp9p) mRNA and for the Oli1p ring formation\x3b YMR098C is not an essential gene	1	2	2	2	2	2	2	0	0	0	70.413	612	612	4.67		1			1		1		0.0062714	1.6557	0	1620000000	1620000000	3		+		58	7349;22324	True;True	7691;23468	20624;20625;61222	23426;23427;69230	23426;69230		
REV__YMR105C	REV__YMR105C	2	2	2	>YMR105C pep:known chromosome:R64-1-1:XIII:475897:477606:-1 gene:YMR105C transcript:YMR105C description:Phosphoglucomutase, catalyzes the conversion from glucose-1-phosphate to glucose-6-phosphate, which is a key step in hexose metabolism\x3b functions as	1	2	2	2	2	2	2	0	0	0	63.088	569	569	3.67	1				2				0.0079523	1.5787	0	167650000	167650000	3		+		59	14979;29411	True;True	15636;30925	41934;41935;81866	47771;47772;92853	47771;92853		
REV__YMR232W	REV__YMR232W	1	1	1	>YMR232W pep:known chromosome:R64-1-1:XIII:736926:738959:1 gene:YMR232W transcript:YMR232W description:Cytoplasmic protein localized to the shmoo tip\x3b required for the alignment of parental nuclei before nuclear fusion during mating	1	1	1	1	1	1	1	0	0	0	79.036	677	677	5					1				1	-2	0	88430000	88430000	1	+	+		60	354	True	381	1145	1500	1500	34	130
REV__YOR012W	REV__YOR012W	1	1	1	>YOR012W pep:known chromosome:R64-1-1:XV:356543:356956:1 gene:YOR012W transcript:YOR012W description:Putative protein of unknown function	1	1	1	1	1	1	1	0	0	0	15.482	137	137	1	1								0.008767	1.5204	0	7334700	7334700	1		+		61	12878	True	13457	36460	41764	41764		
REV__YOR191W	REV__YOR191W	1	1	1	>YOR191W pep:known chromosome:R64-1-1:XV:692475:697334:1 gene:YOR191W transcript:YOR191W description:RING finger protein involved in proteolytic control of sumoylated substrates\x3b interacts with SUMO (Smt3p)\x3b member of the SWI/SNF family of DNA-depen	1	1	1	1	1	1	1	0	0	0	184.4	1619	1619	7							1		1	-2	0	9888300	9888300	1	+	+		62	15025	True	15684	42073	47928	47928	35	1494
REV__YOR195W	REV__YOR195W	1	1	1	>YOR195W pep:known chromosome:R64-1-1:XV:712866:715331:1 gene:YOR195W transcript:YOR195W description:Kinetochore-associated protein required for normal segregation of chromosomes in meiosis and mitosis\x3b component of the FEAR regulatory network, which p	1	1	1	1	1	1	1	0	0	0	95.379	821	821	7					1		2	2	0.0098814	1.4929	0	1322900000	1322900000	5		+		63	15380	True	16056	43002;43003;43004;43005;43006	48932;48933;48934;48935;48936	48935		
REV__YOR206W	REV__YOR206W	1	1	1	>YOR206W pep:known chromosome:R64-1-1:XV:727512:729644:1 gene:YOR206W transcript:YOR206W description:Protein that forms a nucleolar complex with Mak21p that binds to 90S and 66S pre-ribosomes, as well as a nuclear complex with Noc3p that binds to 66S pre-	1	1	1	1	1	1	1	0	0	0	81.6	710	710	7							1		1	-2	0	34466000	34466000	1	+	+		64	26062	True	27389	71749	81144	81144	36	358
REV__YOR326W	REV__YOR326W	1	1	1	>YOR326W pep:known chromosome:R64-1-1:XV:925721:930445:1 gene:YOR326W transcript:YOR326W description:One of two type V myosin motors (along with MYO4) involved in actin-based transport of cargos\x3b required for the polarized delivery of secretory vesicle	1	1	1	1	1	1	1	0	0	0	180.68	1574	1574	3			1						0.0048851	1.7993	0	3341500000	3341500000	1		+		65	13459	True	14051	37851	43299	43299		
REV__YOR330C	REV__YOR330C	1	1	1	>YOR330C pep:known chromosome:R64-1-1:XV:939621:943385:-1 gene:YOR330C transcript:YOR330C description:Catalytic subunit of the mitochondrial DNA polymerase\x3b conserved C-terminal segment is required for the maintenance of mitochondrial genome\x3b relate	1	1	1	1	1	1	1	0	0	0	143.5	1254	1254	1	2								0.0029455	2.1228	0	428100000	428100000	2		+		66	15643	True	16341	43732;43733	49745;49746	49745		
REV__YPL045W	REV__YPL045W	1	1	1	>YPL045W pep:known chromosome:R64-1-1:XVI:467260:469656:1 gene:YPL045W transcript:YPL045W description:Subunit of the vacuole fusion and protein sorting HOPS complex and the CORVET tethering complex\x3b part of the Class C Vps complex essential for membran	1	1	1	1	1	1	1	0	0	0	92.74	798	798	3			1						1	-2	0	58677000	58677000	1	+	+		67	21487	True	22600	58990	66662	66662	37	4
REV__YPR004C	REV__YPR004C	1	1	1	>YPR004C pep:known chromosome:R64-1-1:XVI:564007:565041:-1 gene:YPR004C transcript:YPR004C description:Putative ortholog of mammalian electron transfer flavoprotein complex subunit ETF-alpha\x3b interacts with frataxin, Yfh1p\x3b null mutant displays elev	1	1	1	1	1	1	1	0	0	0	36.802	344	344	6						1			0.0090472	1.518	0	55646000	55646000	1		+		68	14525	True	15157	40553	46229	46229		
REV__YPR117W	REV__YPR117W	1	1	1	>YPR117W pep:known chromosome:R64-1-1:XVI:760025:767494:1 gene:YPR117W transcript:YPR117W description:Putative protein of unknown function	1	1	1	1	1	1	1	0	0	0	285.9	2489	2489	3			1						0.0054301	1.697	0	13693000	13693000	1		+		69	18388	True	19361	51122	58005	58005		
YAL001C	YAL001C	7	7	7	>YAL001C pep:known chromosome:R64-1-1:I:147594:151166:-1 gene:YAL001C transcript:YAL001C description:Largest of six subunits of the RNA polymerase III transcription initiation factor complex (TFIIIC)\x3b part of the TauB domain of TFIIIC that binds DNA at	1	7	7	7	7	7	7	8	8	8	132.11	1160	1160	6.14		1				1	5		0	21.143	8	137490000	137490000	7				70	2929;11059;11606;14484;16683;19343;24727	True;True;True;True;True;True;True	3090;11565;12139;15115;17418;20360;25981	8812;31379;32847;40465;46665;53516;67729	10125;36016;37613;46128;53171;60699;76588	10125;36016;37613;46128;53171;60699;76588		
YAL003W	YAL003W	12	12	12	>YAL003W pep:known chromosome:R64-1-1:I:142174:143160:1 gene:YAL003W transcript:YAL003W description:Translation elongation factor 1 beta\x3b stimulates nucleotide exchange to regenerate EF-1 alpha-GTP for the next elongation cycle\x3b part of the EF-1 com	1	12	12	12	12	12	12	68.4	68.4	68.4	22.627	206	206	2.67	5	39	18	5	1	1		3	0	323.31	68.4	77476000000	77476000000	84				71	361;441;691;692;13288;16033;16034;20271;23459;24984;28600;28601	True;True;True;True;True;True;True;True;True;True;True;True	388;472;737;738;739;13878;16745;16746;21337;24662;24663;26253;30063;30064;30065;30066	1160;1161;1162;1163;1164;1165;1166;1167;1168;1169;1170;1171;1432;1433;1434;1435;1436;1437;2230;2231;2232;2233;2234;2235;2236;2237;2238;2239;2240;2241;2242;2243;2244;2245;2246;37486;37487;37488;37489;44812;44813;44814;44815;44816;44817;55846;55847;55848;55849;64583;64584;64585;64586;64587;64588;68480;68481;68482;68483;68484;68485;68486;68487;68488;68489;79287;79288;79289;79290;79291;79292;79293	1519;1520;1521;1522;1523;1524;1525;1526;1527;1528;1529;1530;1812;1813;1814;1815;1816;1817;1818;1819;1820;2718;2719;2720;2721;2722;2723;2724;2725;2726;2727;2728;2729;2730;2731;2732;2733;2734;2735;2736;42891;42892;42893;42894;42895;42896;51002;51003;51004;51005;51006;51007;51008;63248;63249;63250;63251;63252;63253;73146;73147;73148;73149;73150;73151;73152;77445;77446;77447;77448;77449;77450;77451;77452;77453;77454;77455;77456;89811;89812;89813;89814;89815;89816;89817	1526;1815;2725;2734;42891;51006;51008;63249;73151;77445;89812;89816	38;39;40	139;148;203
